NU_ANO_CENSO|CO_ENTIDADE|NO_ENTIDADE|CO_ORGAO_REGIONAL|TP_SITUACAO_FUNCIONAMENTO|DT_ANO_LETIVO_INICIO|DT_ANO_LETIVO_TERMINO|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|CO_ESCOLA_SEDE_VINCULADA|CO_IES_OFERTANTE|TP_REGULAMENTACAO|IN_LOCAL_FUNC_PREDIO_ESCOLAR|TP_OCUPACAO_PREDIO_ESCOLAR|IN_LOCAL_FUNC_SALAS_EMPRESA|IN_LOCAL_FUNC_SOCIOEDUCATIVO|IN_LOCAL_FUNC_UNID_PRISIONAL|IN_LOCAL_FUNC_PRISIONAL_SOCIO|IN_LOCAL_FUNC_TEMPLO_IGREJA|IN_LOCAL_FUNC_CASA_PROFESSOR|IN_LOCAL_FUNC_GALPAO|TP_OCUPACAO_GALPAO|IN_LOCAL_FUNC_SALAS_OUTRA_ESC|IN_LOCAL_FUNC_OUTROS|IN_PREDIO_COMPARTILHADO|IN_AGUA_FILTRADA|IN_AGUA_REDE_PUBLICA|IN_AGUA_POCO_ARTESIANO|IN_AGUA_CACIMBA|IN_AGUA_FONTE_RIO|IN_AGUA_INEXISTENTE|IN_ENERGIA_REDE_PUBLICA|IN_ENERGIA_GERADOR|IN_ENERGIA_OUTROS|IN_ENERGIA_INEXISTENTE|IN_ESGOTO_REDE_PUBLICA|IN_ESGOTO_FOSSA|IN_ESGOTO_INEXISTENTE|IN_LIXO_COLETA_PERIODICA|IN_LIXO_QUEIMA|IN_LIXO_JOGA_OUTRA_AREA|IN_LIXO_RECICLA|IN_LIXO_ENTERRA|IN_LIXO_OUTROS|IN_SALA_DIRETORIA|IN_SALA_PROFESSOR|IN_LABORATORIO_INFORMATICA|IN_LABORATORIO_CIENCIAS|IN_SALA_ATENDIMENTO_ESPECIAL|IN_QUADRA_ESPORTES_COBERTA|IN_QUADRA_ESPORTES_DESCOBERTA|IN_QUADRA_ESPORTES|IN_COZINHA|IN_BIBLIOTECA|IN_SALA_LEITURA|IN_BIBLIOTECA_SALA_LEITURA|IN_PARQUE_INFANTIL|IN_BERCARIO|IN_BANHEIRO_FORA_PREDIO|IN_BANHEIRO_DENTRO_PREDIO|IN_BANHEIRO_EI|IN_BANHEIRO_PNE|IN_DEPENDENCIAS_PNE|IN_SECRETARIA|IN_BANHEIRO_CHUVEIRO|IN_REFEITORIO|IN_DESPENSA|IN_ALMOXARIFADO|IN_AUDITORIO|IN_PATIO_COBERTO|IN_PATIO_DESCOBERTO|IN_ALOJAM_ALUNO|IN_ALOJAM_PROFESSOR|IN_AREA_VERDE|IN_LAVANDERIA|IN_DEPENDENCIAS_OUTRAS|QT_SALAS_EXISTENTES|QT_SALAS_UTILIZADAS|IN_EQUIP_TV|IN_EQUIP_VIDEOCASSETE|IN_EQUIP_DVD|IN_EQUIP_PARABOLICA|IN_EQUIP_COPIADORA|IN_EQUIP_RETROPROJETOR|IN_EQUIP_IMPRESSORA|IN_EQUIP_IMPRESSORA_MULT|IN_EQUIP_SOM|IN_EQUIP_MULTIMIDIA|IN_EQUIP_FAX|IN_EQUIP_FOTO|IN_COMPUTADOR|QT_EQUIP_TV|QT_EQUIP_VIDEOCASSETE|QT_EQUIP_DVD|QT_EQUIP_PARABOLICA|QT_EQUIP_COPIADORA|QT_EQUIP_RETROPROJETOR|QT_EQUIP_IMPRESSORA|QT_EQUIP_IMPRESSORA_MULT|QT_EQUIP_SOM|QT_EQUIP_MULTIMIDIA|QT_EQUIP_FAX|QT_EQUIP_FOTO|QT_COMPUTADOR|QT_COMP_ADMINISTRATIVO|QT_COMP_ALUNO|IN_INTERNET|IN_BANDA_LARGA|QT_FUNCIONARIOS|IN_ALIMENTACAO|TP_AEE|TP_ATIVIDADE_COMPLEMENTAR|IN_FUNDAMENTAL_CICLOS|TP_LOCALIZACAO_DIFERENCIADA|IN_MATERIAL_ESP_QUILOMBOLA|IN_MATERIAL_ESP_INDIGENA|IN_MATERIAL_ESP_NAO_UTILIZA|IN_EDUCACAO_INDIGENA|TP_INDIGENA_LINGUA|CO_LINGUA_INDIGENA|IN_BRASIL_ALFABETIZADO|IN_FINAL_SEMANA|IN_FORMACAO_ALTERNANCIA|IN_MEDIACAO_PRESENCIAL|IN_MEDIACAO_SEMIPRESENCIAL|IN_MEDIACAO_EAD|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|IN_COMUM_CRECHE|IN_COMUM_PRE|IN_COMUM_FUND_AI|IN_COMUM_FUND_AF|IN_COMUM_MEDIO_MEDIO|IN_COMUM_MEDIO_INTEGRADO|IN_COMUM_MEDIO_NORMAL|IN_ESP_EXCLUSIVA_CRECHE|IN_ESP_EXCLUSIVA_PRE|IN_ESP_EXCLUSIVA_FUND_AI|IN_ESP_EXCLUSIVA_FUND_AF|IN_ESP_EXCLUSIVA_MEDIO_MEDIO|IN_ESP_EXCLUSIVA_MEDIO_INTEGR|IN_ESP_EXCLUSIVA_MEDIO_NORMAL|IN_COMUM_EJA_FUND|IN_COMUM_EJA_MEDIO|IN_COMUM_EJA_PROF|IN_ESP_EXCLUSIVA_EJA_FUND|IN_ESP_EXCLUSIVA_EJA_MEDIO|IN_ESP_EXCLUSIVA_EJA_PROF|IN_COMUM_PROF|IN_ESP_EXCLUSIVA_PROF
2018|43006744|EEI AMIGUINHOS DO CRISTAL|1|1|05/03/2018|22/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|1|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|1|1|1|1|0|1|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|7|5|1|0|1|0|1|0|1|0|1|0|0|1|1|2|0|2|0|2|0|2|0|9|0|0|2|8|2|6|1|1|15|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006752|EEI GERACAO CRIANCA|1|1|01/03/2018|20/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|1|1|0|1|1|0|1|1|1|1|0|1|1|0|0|1|0|1|1|1|1|1|1|0|0|1|1|0|10|6|1|0|1|0|0|0|1|1|1|1|1|1|1|1|0|2|0|0|0|1|1|2|1|1|1|2|2|1|1|1|12|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006787|EEI CONTO DE FADAS|1|1|05/03/2018|21/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|1|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|1|0|1|1|0|0|1|1|1|0|0|0|0|1|0|0|0|0|0|3|3|1|1|1|0|1|0|0|1|1|0|0|1|1|2|2|3|0|1|0|0|1|3|0|0|1|1|1|0|1|1|9|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006795|EEI CARROSSEL|1|1|01/03/2018|22/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|1|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|0|0|1|0|1|1|0|0|1|1|0|0|1|0|0|6|5|1|0|1|0|0|0|1|0|1|0|0|0|1|2|0|2|0|0|0|1|0|7|0|0|0|1|1|0|1|1|14|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006809|EEI EDUCARE II|1|1|01/03/2018|20/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|1|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|1|1|1|0|0|1|1|0|0|1|0|0|5|3|1|0|1|0|1|0|1|0|1|0|0|0|1|1|0|1|0|1|0|1|0|2|0|0|0|2|2|0|1|1|10|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006817|5212 EEI RECANTO DOS PEQUENINOS|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|2|1|1|0|0|0|0|1|NA|NA|1|1|3|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|0|0|6|6|1|0|1|0|0|0|0|0|1|0|0|0|1|5|0|5|0|0|0|0|0|2|0|0|0|1|1|0|1|1|16|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43009000|EEF CRESCER|1|1|21/02/2018|19/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|1|1|1|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|0|1|1|1|1|1|0|1|1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|0|0|1|1|0|15|15|1|0|1|1|1|1|1|0|1|1|0|1|1|2|0|1|1|3|1|3|0|1|1|0|1|18|4|18|1|1|75|0|0|0|0|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006825|5220 IEI CANTINHO DO SOL|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|2|1|1|0|0|1|0|0|NA|NA|1|1|3|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|1|0|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|1|0|6|6|1|0|1|0|1|0|1|0|1|0|0|0|1|1|0|1|0|1|0|1|0|1|0|0|0|2|2|0|1|1|16|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006833|5221 EEI ANA MALTZ KNIJNIK|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|2|1|1|0|0|1|0|0|NA|NA|1|1|3|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|1|0|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|1|0|6|6|1|0|1|0|0|0|0|0|0|0|0|1|1|1|0|1|0|0|0|0|0|0|0|0|1|1|1|0|1|1|17|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006841|5222 IEI PRISMA|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|2|1|1|0|0|1|0|0|NA|NA|0|1|3|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|0|1|0|0|1|1|1|0|0|0|1|0|0|1|1|0|6|6|1|0|1|0|0|0|0|0|1|0|0|0|1|1|0|1|0|0|0|0|0|1|0|0|0|1|1|0|1|1|13|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43006850|COLEGIO AGIR|1|1|01/01/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|1|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|1|0|1|1|1|1|1|0|1|1|0|1|0|0|0|0|0|8|8|1|0|1|0|1|0|1|1|1|1|0|1|1|1|0|1|0|8|0|8|8|2|2|0|1|30|17|13|1|1|36|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
2018|43187951|ESCOLA DE EDUCACAO INFANTIL NUTRINDO O SABER|1|2|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43048200|EMEF PORTO NOVO|1|1|14/03/2018|31/12/2018|4|4305|43026|43|4314902|431490205|3|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|1|1|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|0|0|1|1|0|22|17|1|0|0|0|1|0|1|1|1|0|0|1|1|1|0|0|0|1|0|1|2|4|0|0|1|26|5|21|1|1|70|1|1|1|1|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43001190|IFRS - CAMPUS PORTO ALEGRE RESTINGA|NA|1|15/02/2018|18/12/2018|4|4305|43026|43|4314902|431490205|1|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|601|1|1|1|0|0|0|0|0|0|0|NA|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|1|1|0|1|1|1|1|1|1|1|0|1|1|0|0|1|0|0|16|16|1|0|1|1|1|0|1|1|1|1|1|1|1|3|0|2|1|6|0|8|6|3|36|1|5|263|83|180|1|1|107|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0|1|0
2018|43004229|EEI ALEGRIA DE CRIANCA|1|1|05/03/2018|20/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|1|1|1|1|0|1|1|0|0|1|1|1|1|0|0|1|1|0|0|1|1|0|5|4|1|0|1|0|1|0|1|0|1|0|0|1|1|1|0|1|0|1|0|1|0|1|0|0|1|4|1|0|1|1|8|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43004245|EEI TURMINHA DO PUFF|1|1|01/03/2018|22/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|1|1|0|0|0|0|1|0|0|1|0|0|3|3|1|0|1|0|0|0|0|1|1|0|0|1|1|3|0|3|0|0|0|0|1|1|0|0|1|1|1|0|1|1|6|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43004261|EEI SO BEBE|1|1|05/02/2018|28/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|0|1|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|0|1|1|0|0|1|1|0|3|1|1|0|1|0|1|0|1|0|1|0|0|1|1|2|0|2|0|1|0|1|0|1|0|0|1|1|1|0|1|1|4|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43004288|EEI ECOVILLE KIDS|1|1|19/02/2018|21/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|0|1|0|1|1|1|1|0|1|1|1|0|1|1|1|1|1|0|1|1|0|0|1|1|0|7|7|1|0|1|0|0|0|1|1|1|0|0|1|1|7|0|6|0|0|0|1|1|1|0|0|1|3|3|0|1|1|19|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43004296|EEI CRIARTE|1|1|05/03/2018|28/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|0|0|0|0|1|1|1|0|1|1|1|1|0|1|1|0|0|0|1|1|0|0|0|0|1|0|0|1|0|0|4|4|1|0|1|0|0|0|1|0|1|0|0|1|1|2|0|2|0|0|0|1|0|4|0|0|3|1|1|0|1|1|7|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43004318|5218 IEI CARLOS ALBERTO TEJERA DE RE|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|2|1|1|0|0|1|0|0|NA|NA|1|1|3|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|0|1|1|0|0|1|1|1|1|0|0|0|1|0|0|0|1|0|6|6|1|0|1|0|0|0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|NA|16|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43241018|ESC EDUC INF JARDIM DOS GIRASSOIS|1|2|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43009085|EEI URSINHOS CARINHOSOS|1|1|02/01/2018|28/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|0|0|NA|0|0|0|0|0|0|0|NA|0|1|NA|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|1|1|1|0|0|0|1|0|1|1|0|0|0|1|0|0|1|0|0|4|3|1|0|1|0|0|0|1|0|0|0|0|1|1|2|0|1|0|0|0|1|0|0|0|0|1|1|1|0|1|1|6|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43009093|EEI LUDICA INFANCIA|1|1|14/02/2018|21/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|0|1|1|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|1|0|0|0|0|1|0|0|0|1|1|0|1|1|0|0|1|1|1|1|0|0|1|1|0|0|1|1|0|13|8|1|0|1|0|0|1|1|0|1|0|0|1|1|1|0|1|0|0|1|1|0|1|0|0|1|3|3|0|1|1|20|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43009107|IEI CANTO DAS CRIANCAS|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|0|1|1|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|4|3|1|0|1|0|0|0|1|0|1|0|0|0|1|6|0|4|0|0|0|1|0|2|0|0|0|3|1|2|0|NA|7|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43009115|5228 IEI APRENDENDO FELIZ|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|2|1|1|0|0|1|0|0|NA|NA|0|1|1|0|0|0|0|0|0|0|NA|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|1|0|1|1|0|0|0|1|1|1|0|0|1|1|1|0|1|0|0|3|3|1|0|0|0|0|0|1|0|1|0|0|0|1|1|0|0|0|0|0|1|0|2|0|0|0|1|1|0|1|1|13|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43009140|EEI SONHO DE CRIANCA II|1|1|21/02/2018|19/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|1|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|0|0|0|0|1|1|1|1|0|1|1|0|1|1|1|0|0|1|1|0|1|1|0|0|1|0|0|1|1|0|8|8|1|0|1|0|1|0|1|0|1|0|0|1|1|2|0|2|0|1|0|1|0|8|0|0|2|2|2|0|1|1|21|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43009158|EEI SEMEAR|1|1|02/01/2018|20/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|1|1|1|1|0|1|1|0|0|1|1|1|1|1|0|0|1|0|0|0|1|0|7|5|1|0|1|0|0|0|0|1|1|0|0|1|1|1|0|1|0|0|0|0|2|5|0|0|1|1|1|0|1|1|6|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43009166|5226 EEI PROF MARIETA PAIXAO ARAUJO|1|1|15/02/2018|31/12/2018|4|4305|43026|43|4314902|431490205|4|1|2|1|1|0|0|1|0|0|NA|NA|0|1|3|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|0|0|0|1|0|10|8|1|0|0|0|0|0|1|0|1|0|0|0|1|1|0|0|0|0|0|1|0|2|0|0|0|1|1|0|1|1|23|1|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
